"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","discriminant_score","tri_score","orth_score","other_score","blank_score","totaltime_m"
"DMJ14","SGC3A","121","wi22sona","2218","35743","sona","asynch","TRUE","B and F referring to the y axis","I tried my best on each question",3,3,3,"it would be useful if the question have some instruction to indicate whether it is a multiple-choice or just leave the blank if there is no right answer ",25,"United States","Cantonese","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1680,939,"Mac OS","2022-02-27T07:24:42.564Z","success","winter22",1,1,-0.5,3,3,10,1,5.8638
"UJFX9","SGC3A","121","wi22sona","2218","30653","sona","asynch","TRUE","You start on the x axis where the times are listed and look for the points that land on 12pm and those are are the shifts that start at 12pm.","I tried my best on each question",2,2,3,"",21,"United States","English","Fourth","Biomedical & Health Sciences","Female","no","chrome",1440,789,"Mac OS","2022-02-25T03:14:15.264Z","success","winter22",1,0,-4.33333333333333,0,6,4,5,9.82103333333333
"34FAZ","SGC3A","121","wi22sona","2218","32667","sona","asynch","TRUE","starting at the 12 pm point on the x-axis and going up vertically, these are the shifts that begin at 12 pm
","I tried my best on each question",3,4,5,"adding a control question to see if people are paying attention or adding a ""none"" option",22,"US","Arabic","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-02-27T02:03:17.477Z","success","winter22",1,0,-6.58333333333333,0,9,1,4,13.5930166666667
"RDYS7","SGC3A","111","wi22sona","2218","42526","sona","asynch","TRUE","focus on a point and look what it is under on the y axis, so for M the point on the y axis will be 12:30 ","I tried my best on most questions",2,1,4,"I think you guys did well, I just misunderstood the graph and realized it on the last question.",19,"United States","Spanish","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-02-27T04:19:10.491Z","success","winter22",1,3,-1,6,5,6,0,20.51585
"NBR5N","SGC3A","121","wi22sona","2218","37698","sona","asynch","TRUE","Each shift point creates a triangle with the left side of the triangle leading back to where the shift starts on the x-axis.  To see which event starts at 12, one must look for the points on the diagonal line starting from 12 on the x-axis that is going in the upper right direction.","I tried my best on each question",3,4,5,"",19,"United States of America","English","Second","Social Sciences (incl. CogSci)","Female","No","chrome",1440,789,"Mac OS","2022-02-23T05:52:07.292Z","success","winter22",3,12,12,15,0,0,0,12.97525
"QWPKO","SGC3A","121","wi22sona","2218","38841","sona","asynch","TRUE","Go to 12pm on x axis then go up diagonally on the line that begins there.","I tried my best on each question",4,2,5,"Best study I've done, would do these on my own time.",19,"US","English","Third","Social Sciences (incl. CogSci)","Other-Not Listed","No","chrome",1920,937,"Windows 10","2022-02-26T01:20:59.867Z","success","winter22",1,9,8.91666666666667,11,1,1,1,5.79518333333333
"2KS3T","SGC3A","121","wi22sona","2218","42915","sona","asynch","TRUE","B and F shows the start time of the day","I tried my best on each question",4,3,3,"The first half was hard the second half was easier",21,"United States","X-Other","Fourth","Biomedical & Health Sciences","Male","n/a","chrome",1920,937,"Windows 10","2022-02-23T09:52:35.248Z","success","winter22",2,1,-4.5,1,7,4,0,13.2959
"UN7PD","SGC3A","111","wi22sona","2218","43049","sona","asynch","TRUE","Start on the x-axis at 12pm, then trace up the diagonal line that goes towards the right. Doing so would show that M and L start at 12pm.","I tried my best on most questions",3,4,4,"I believe I had been reading the graph wrong within the first initial questions, but one of the questions changed how I read the graph.",19,"United States","English","Second","Social Sciences (incl. CogSci)","Male","NA","chrome",1440,796,"Mac OS","2022-02-24T21:34:48.092Z","success","winter22",1,9,6.91666666666667,12,2,0,0,11.8386
"JHTYA","SGC3A","111","wi22sona","2218","36591","sona","asynch","TRUE","M & L start at 12pm because I followed the line of the triangle","I tried my best on each question",1,3,4,"",24,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1366,689,"Mac OS","2022-02-27T03:03:33.440Z","success","winter22",2,2,-4.66666666666667,2,9,7,0,18.8103833333333
"HV8ZE","SGC3A","121","wi22sona","2218","34583","sona","asynch","TRUE","I follow the straight line from where it says 12pm so F and B","I tried my best on each question",5,2,5,"",20,"USA","Spanish","Third","Social Sciences (incl. CogSci)","Female","NO","chrome",1395,693,"Mac OS","2022-02-23T04:18:18.071Z","success","winter22",1,2,1.16666666666667,7,4,8,0,10.9188166666667
"43L8M","SGC3A","121","wi22sona","2218","27653","sona","asynch","TRUE","dots that are on the up-right line from 12
","I tried my best on each question",2,3,4,"I misunderstood the graph for the first 3 or so questions, so those answers are blank. :(",22,"US","English","Fourth","Natural Sciences","Male","Nope","chrome",2048,1042,"Windows 10","2022-02-26T08:20:16.613Z","success","winter22",3,9,9,12,0,0,3,6.2756
"WBJ2T","SGC3A","121","wi22sona","2218","34535","sona","asynch","TRUE","I am looking at the linear line that starts at 12pm and goes up one and right one every hour. So M and L started at 12pm.","I tried my best on each question",2,4,4,"",21,"United States of America","English","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1440,821,"Mac OS","2022-02-26T00:15:04.634Z","success","winter22",1.5,5,5.08333333333333,8,0,3,3,7.32353333333333
"KGNC3","SGC3A","121","wi22sona","2218","41808","sona","asynch","TRUE","The points on the line that moves diagonally right from 12pm are the shifts that start at 12pm.","I tried my best on each question",3,3,4,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","N/A","chrome",1620,929,"Windows 10","2022-02-24T08:15:48.219Z","success","winter22",2,11,10.9166666666667,14,0,1,0,10.1517333333333
"BBPLJ","SGC3A","121","wi22sona","2218","35738","sona","asynch","TRUE","By the X axis, the start and end time, find 12pm and go up the Y axis, duration, and look for a dot","I tried my best on most questions",3,2,2,"I realized about halfway through that I had messed up on some questions because I didn't fully understand the question and left it blank. Towards the end, I tried a little harder because I understood it better, I hope.",20,"United States","English","Third","Natural Sciences","Female","N/A","chrome",1500,857,"Windows 10","2022-02-25T23:50:00.199Z","success","winter22",1,0,-5.66666666666667,1,8,2,3,15.9513833333333
"TAEHJ","SGC3A","121","wi22sona","2218","40006","sona","asynch","TRUE","Going along the x-axis, which represents the start and end time of the work day, you go to the portion of the graph marked at 12pm and moving along the y-axis vertically in a straight line, see which point fall on that straight line. In this case, it would be F and B, with F being a 4-hour shift and B being a 3-hour shift.","I tried my best on each question",3,3,4,"",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Other-Not Listed","","chrome",1440,701,"Mac OS","2022-02-26T19:49:14.368Z","success","winter22",1,1,-6.16666666666667,1,10,1,2,17.1030333333333
"6HUZT","SGC3A","121","wi22sona","2218","42507","sona","asynch","TRUE","You look at the 12 dash and follow the line ascending to the right until you reach points","I tried my best on each question",3,3,4,"n/a",18,"USA","Spanish","First","Biomedical & Health Sciences","Female","none","chrome",1440,737,"Mac OS","2022-02-24T09:10:17.043Z","success","winter22",1,11,11,14,0,0,1,18.8906166666667
"NEK50","SGC3A","111","wi22sona","2218","42978","sona","asynch","TRUE","The events which are in the same column as the point on the x-axis marked '12 PM' start at 12 PM.","I tried my best on each question",3,4,3,"",19,"United States","English","First","Humanities","Female","","chrome",1634,1026,"Windows 10","2022-02-25T06:33:17.903Z","success","winter22",1,0,-12,0,15,0,0,14.9882166666667
"C2AHN","SGC3A","111","wi22sona","2218","43063","sona","asynch","TRUE","Go to 12pm on the x axis and make a vertical line at 12pm. Any labeled point along that vertical line is a shift that starts at 12pm. ","I tried my best on most questions",4,3,4,"I'm pretty sure I did the first few questions wrong because I misunderstood the graph but I hopefully understood it by the end. At least, I thought I understood it a little better than at first.",20,"U.S.","English","Third","Social Sciences (incl. CogSci)","Male","None","chrome",1500,889,"Windows 10","2022-02-25T23:22:53.815Z","success","winter22",1,0,-8.41666666666667,1,12,4,0,19.5675
"4GC8J","SGC3A","121","wi22sona","2218","36207","sona","asynch","TRUE","1. view all slanted lines as a function y=kx+b.
2. find at the lines where k is positive 
3. within those options, find the lines that intersect with the x-axis at 12 pm.","I tried my best on each question",1,4,4,"",19,"China","Mandarin","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-02-25T20:45:53.018Z","success","winter22",1,12,12,15,0,0,0,8.68185
"SKPWA","SGC3A","111","wi22sona","2218","38985","sona","asynch","TRUE","Look at the x-axis labeled (Start and End Time) and find 12 pm. Draw a straight line vertically at a 90 degree angle to the x-axis and any points that fall on the line are shifts that start at 12 pm.","I tried my best on each question",4,2,4,"",20,"United States of America","Korean","Second","Biomedical & Health Sciences","Female","No","chrome",1440,821,"Mac OS","2022-02-24T21:38:05.759Z","success","winter22",1,0,-12,0,15,0,0,9.74928333333333
"E0F55","SGC3A","121","wi22sona","2218","38348","sona","asynch","TRUE","In order to find the events starting, the line going in an upward right direction shows schedules at 12pm. An example is L, which begins at 12pm, has a break at 3:30pm, and the shift ends at 7pm, for a 7 hour shift.","I tried my best on each question",3,4,5,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1536,754,"Windows 10","2022-02-23T18:17:20.662Z","success","winter22",2,4,4,8,3,5,2,14.9812333333333
"X7HS7","SGC3A","121","wi22sona","2218","38737","sona","asynch","TRUE","We see which dots are at a y value when divided by 2 gives the number of spaces on the x axis that the dot should be from 12 pm. ","I tried my best on each question",4,3,2,"",21,"United States","English","Third","Biomedical & Health Sciences","Female","no","chrome",1438,752,"Mac OS","2022-02-24T22:05:12.941Z","success","winter22",1,6,7,10,0,5,1,16.0360666666667
"A3QHP","SGC3A","111","wi22sona","2218","37925","sona","asynch","TRUE","what lines up to 12 pm","I tried my best on each question",4,3,4,"",22,"PHL","X-Other","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,764,"Mac OS","2022-02-27T02:44:42.697Z","success","winter22",1,0,-9.33333333333333,0,11,4,3,21.0474666666667
"EBSJV","SGC3A","111","wi22sona","2218","41165","sona","asynch","TRUE","I DETERMINED THE EVENTS THAT START AT 12PM BY LOOKING AT THE X-AXIS OF THE GRAPH AND GOING UP TO SEE THAT A STARTED AT 12PM","I tried my best on most questions",4,3,4,"INSTRUCTIONS ON HOW TO READ THE GRAPH.",19,"U.S","English","First","Social Sciences (incl. CogSci)","Female","NO.","chrome",1440,789,"Mac OS","2022-02-26T18:16:42.097Z","success","winter22",3,0,-4.91666666666667,0,5,10,0,12.72805
"JCKEW","SGC3A","111","wi22sona","2218","42693","sona","asynch","TRUE","look which are in a stright line vertically","I tried my best on each question",3,4,2,"im v tired; could have done better",20,"USA","English","Second","Natural Sciences","Female","nope","chrome",1536,722,"Windows 10","2022-02-23T02:47:49.093Z","success","winter22",1,0,-12,0,15,0,0,8.68666666666667
"853JQ","SGC3A","111","wi22sona","2218","41119","sona","asynch","TRUE","I looked at the block dots, and determined the time a shift starts is when the time indicated by the graph on the x-axis below the dot.","I tried my best on most questions",2,4,3,"",20,"Kuwait","Arabic","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1368,742,"Windows 10","2022-02-27T06:59:31.801Z","success","winter22",2,0,-11,0,14,0,1,13.2265166666667
"NDBCA","SGC3A","121","wi22sona","2218","36287","sona","asynch","TRUE","To determine what event(s) start at 12pm, you would go to the 12pm tick mark and follow the line diagonally. For breaks, you would have to split the hours in half and see if it takes place at 12pm","I tried my best on most questions",4,2,3,"I think having a calculator or clock on the screen would help",20,"USA","English","Second","Social Sciences (incl. CogSci)","Female","Anxiety","chrome",1549,910,"Mac OS","2022-02-23T01:55:29.768Z","success","winter22",1,9,9.25,12,0,3,0,22.9969333333333
"EBSH0","SGC3A","111","wi22sona","2218","38298","sona","asynch","TRUE","check the x axis and see which letters are on 12pm","I tried my best on most questions",4,2,2,"",20,"u.s","X-Other","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-02-27T07:36:17.286Z","success","winter22",1,1,-4.58333333333333,2,8,7,0,11.94095
"05EWA","SGC3A","121","wi22sona","2218","37220","sona","asynch","TRUE","using the diagnal line from 12pm
","I tried my best on each question",5,2,2,"i kept confusing myself after ithought i had the pattern down",20,"united states","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-02-27T02:19:42.689Z","success","winter22",1,3,2.41666666666667,5,0,13,1,8.32365
"G5HED","SGC3A","111","wi22sona","2218","40610","sona","asynch","TRUE","Events aligned with the point on the horizontal axis at the point of 12PM","I tried my best on each question",3,4,3,"",20,"United States","Spanish","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-02-24T22:47:50.902Z","success","winter22",2,0,-12,0,15,0,0,8.69843333333333
"23WXV","SGC3A","121","wi22sona","2218","43089","sona","asynch","TRUE","To determine what events start at 12pm, one must find 12pm on the x-axis then follow the gray linear line at its right. ","I tried my best on most questions",1,4,3,"Not applicable. ",23,"United States","Spanish","Fifth","Engineering","Female","Not applicable.","chrome",1368,808,"Windows 10","2022-02-27T06:36:25.494Z","success","winter22",1,10,10.9166666666667,14,0,1,1,20.2262833333333
"4YF1J","SGC3A","111","wi22sona","2218","42720","sona","asynch","TRUE","find 12pm then look up","I tried my best on each question",3,3,1,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-02-23T05:58:08.413Z","success","winter22",2,1,-8.16666666666667,1,12,2,1,6.9107
"G1GGZ","SGC3A","121","wi22sona","2218","40609","sona","asynch","TRUE","You look at the x axis (Start and End Time (time of day)) and locate 12 PM on that line then directly go up and see if there are any points that align with that time. ","I tried my best on each question",3,3,5,"I am very perplexed by the first round of questions because from my observations (which could definitely be wrong) there were no correct answers so I left them blank and clicked submit. So please do not think I was not participating or not trying from those first round of submissions. I just did not see that there was answer so I submitted it blank as an answer. That is all. Thank you!",23,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1536,721,"Windows 10","2022-02-25T01:38:21.078Z","success","winter22",1,0,-7.08333333333333,0,10,1,4,22.2724833333333
"RVTK3","SGC3A","111","wi22sona","2218","26917","sona","asynch","TRUE","Look at the points on the ""/"" facing diagonal starting from 12pm ","I tried my best on each question",3,4,5,"The letters are a little small on the graph.",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-02-26T02:50:19.462Z","success","winter22",1,12,12,15,0,0,0,7.12755
"EH3ED","SGC3A","121","wi22sona","2218","29937","sona","asynch","TRUE","For shift start, follow the 12pm on the xaxis up. For shift end, add shift hours and follow axis. For coffee break, follow diagonal line.","I tried my best on each question",5,2,4,"",21,"United States","English","Fourth","Humanities","Male","","chrome",1440,764,"Mac OS","2022-02-25T23:59:48.857Z","success","winter22",1.5,1,-6.33333333333333,1,10,2,0,12.2307333333333
"P189K","SGC3A","121","wi22sona","2218","36446","sona","asynch","TRUE","you follow the diagonal line (towards the left) that starts at 12pm, and note all the bots and the letters in the line, which is where the shift will start. ","I tried my best on each question",2,4,4,"I think I messed up because I assumed the break lasted an hour and I might have gotten some things mixed up regarding the breaks, I think I at least got it right the second time, anyway, just letting you know :) (ps: i love happy faces in this font :) hihihih )",20,"Ecuador","Spanish","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-02-23T11:53:49.373Z","success","winter22",1,11,11.9166666666667,15,0,1,0,16.4680333333333
"JDHT2","SGC3A","111","wi22sona","2218","39093","sona","asynch","TRUE","looking at the Y-axis of the graph, it tells us information about when the worker came in and how long they stayed, the x-axis tells us when the worker left and when the break time is based on calculating the duration. ","I tried my best on most questions",3,2,3,"",20,"Korea ","Korean","Second","Social Sciences (incl. CogSci)","Female","","chrome",1280,688,"Mac OS","2022-02-25T10:00:17.274Z","success","winter22",2.5,1,-5.08333333333333,1,8,6,0,9.68616666666667
"H0HHM","SGC3A","121","wi22sona","2218","36591","sona","asynch","TRUE","you find 12pm on the x-axis, & then follow the diagonal line going up & towards the right, which would lead you to M & L.","I tried my best on each question",1,5,5,"I somewhat like looking at graphs, & I like to organize & plan. So I was actually very interested & intrigued by the study description when I first learned that I'd be looking at schedules. ",24,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1366,689,"Mac OS","2022-02-26T18:10:31.365Z","success","winter22",1,12,12,15,0,0,0,14.01835
"S4T2X","SGC3A","121","wi22sona","2218","40025","sona","asynch","TRUE","find 12pm on the bottom axis and see which start","I tried my best on each question",2,4,3,"n/a! really liked it",22,"usa","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,680,"Mac OS","2022-02-23T05:20:03.562Z","success","winter22",1,1,-4.91666666666667,1,8,4,1,11.5459333333333
"WOJNW","SGC3A","121","wi22sona","2218","33294","sona","asynch","TRUE","I go to the 12pm point on the x-axis and follow the line that diagonally goes up to the right.","I tried my best on each question",2,4,4,"I think I got most of them right, there was definitely a learning curve at the start until I figured out how the graphs work. Overall I like the lay out and how most information is presented. ",21,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Male","N/A","chrome",1440,789,"Mac OS","2022-02-25T19:44:28.471Z","success","winter22",1,11,11.9166666666667,15,0,0,0,11.9848
"19SNU","SGC3A","111","wi22sona","2218","31040","sona","asynch","TRUE","identify 12pm on the x-axis and see what points are plotted with 12 as their x-coordinate","I tried my best on most questions",3,2,3,"whether or not I got the questions right to know if I'm on the right track",21,"USA","X-Other","Fourth","Humanities","Female","undiagnosed attention disorder","chrome",1826,910,"Windows 10","2022-02-27T06:48:52.555Z","success","winter22",1,0,-11,0,14,0,1,9.4534
"76UV0","SGC3A","111","wi22sona","2218","42306","sona","asynch","TRUE","check the x-axis for 12 pm and look at points that fall the positive line from 12 pm","I tried my best on most questions",2,2,2,"",20,"United States","English","Second","Math or Computer Sciences","Female","","chrome",1440,732,"Mac OS","2022-02-24T21:48:29.996Z","success","winter22",2,8,3.75,11,4,3,0,37.6728
"86P6B","SGC3A","111","wi22sona","2218","34144","sona","asynch","TRUE","Look for the letters that are touched by the diagonal line going to the right starting at the x-axis on value 12PM ","I tried my best on each question",4,3,5,"I was very confused at first, I do not know if i did it right but the way  answered is what made sense in my head ",21,"United States","Spanish","Fourth","Humanities","Female","No ","chrome",1600,752,"Windows 10","2022-02-24T03:50:00.348Z","success","winter22",1,11,10.8333333333333,14,0,2,0,15.8369833333333
"5QAJA","SGC3A","121","wi22sona","2218","43033","sona","asynch","TRUE","To see which events start at 12pm you need to see go to the point on the x axis corresponding to 12 pm. Then simply follow the diagonal to the right to see if any dots are on that line. If they are, then those shifts start at 12pm.","I tried my best on each question",2,3,3,"",20,"United States","English","Third","Biomedical & Health Sciences","Male","No","chrome",1920,943,"Mac OS","2022-02-24T07:07:16.870Z","success","winter22",1,8,7.66666666666667,13,1,13,0,10.93155
"94FR9","SGC3A","111","wi22sona","2218","38102","sona","asynch","TRUE","go to 12PM on the x-axis and follow the diagonal line going up and to the right","I tried my best on each question",4,3,2,"",27,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","I have astigmatism in both eyes and find black text on a white background hard to read; I also have ADHD","chrome",1440,704,"Mac OS","2022-02-23T06:37:40.608Z","success","winter22",1,2,-2.66666666666667,4,8,2,1,11.2995166666667
"M3E87","SGC3A","121","wi22sona","2218","36525","sona","asynch","TRUE","Find 12pm on the x axis (start and end time), the points at that marker on the x axis (F and B) are the shifts that start at 12 pm","I tried my best on most questions",4,2,3,"I didn't know at all how to interpret the first set of questions about the graph. I left some blank if I couldn't see any that satisfied the condition and guessed on some others. The second set when Korrin (I think?) took over scheduling made sense and was much easier. I hope I answered more of those correctly.",19,"United States","English","Second","Humanities","Female","no","chrome",1440,821,"Mac OS","2022-02-25T22:37:04.484Z","success","winter22",1,0,-5.75,1,9,2,2,18.0362166666667
"91D56","SGC3A","111","wi22sona","2218","39427","sona","asynch","TRUE","x-axis","I tried my best on most questions",3,2,3,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-02-26T03:45:37.140Z","success","winter22",1,0,-8.16666666666667,0,10,2,3,8.31815
"JMZMZ","SGC3A","121","wi22sona","2218","42657","sona","asynch","TRUE","Look at which dots match up with x-axis at 12pm.","I tried my best on most questions",4,3,2,"I think it would have been helpful to know that it was possible to move on without selecting an answer from the beginning. ",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1440,731,"Mac OS","2022-02-26T07:42:34.184Z","success","winter22",1,0,-6.33333333333333,0,9,3,3,12.6038833333333
"WZFMC","SGC3A","111","wi22sona","2218","39124","sona","asynch","TRUE","i am really confused but i would say I would see if they line upon with the hour 12pm ","I tried my best on each question",5,1,3,"I was very confused, perhaps if you all used a different spread sheet, I think its hard to see if they times are lined up.",20,"US","English","Second","Humanities","Female","nope","chrome",1382,692,"Mac OS","2022-02-23T06:14:31.612Z","success","winter22",1.5,1,-2.91666666666667,2,5,10,2,9.45061666666667
"04YXZ","SGC3A","111","wi22sona","2218","27149","sona","asynch","TRUE","SHIFT B AND F
BY FOLLOWING UP THE LINE OF 12PM 
","I tried my best on most questions",4,1,2,"I was being distracted by my environment unwillingly ",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1189,735,"Mac OS","2022-02-25T02:28:32.691Z","success","winter22",1,0,-4.91666666666667,1,7,10,0,9.67681666666667
"1HLEP","SGC3A","121","wi22sona","2218","28782","sona","asynch","TRUE","Look at the horizontal axis where 12pm is listed","I tried my best on each question",4,2,3,"",21,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1500,857,"Windows 10","2022-02-25T23:49:03.095Z","success","winter22",3,0,-6.16666666666667,0,8,8,0,44.3193
"FPSQJ","SGC3A","121","wi22sona","2218","34144","sona","asynch","TRUE","Starting at the x-axis on value 12PM, follow the diagonal line going to the right (positive to the right)","I tried my best on each question",4,3,5,"N/A",21,"United States","Spanish","Fourth","Humanities","Female","No","chrome",1600,752,"Windows 10","2022-02-24T04:07:20.901Z","success","winter22",1,11,10.8333333333333,14,0,2,0,5.9331
"TCS5Z","SGC3A","121","wi22sona","2218","42258","sona","asynch","TRUE","The X axis
","I tried my best on most questions",5,3,5,"",19,"United States","English","Second","Biomedical & Health Sciences","Female","","chrome",1280,681,"Windows 10","2022-02-27T01:21:17.953Z","success","winter22",1,0,-5.5,0,8,6,2,6.15418333333333
"T8OB0","SGC3A","111","wi22sona","2218","42192","sona","asynch","TRUE","Trace from the horizontal axis marking where it says 12pm along to diagonal line up and to the right. Any markings on this line begin at 12pm","I tried my best on each question",2,5,4,"I initially read the graph differently than I did in the end and did not understand the triangle structure at first.",18,"United States","English","First","Engineering","Male","","chrome",2048,1042,"Windows 10","2022-02-24T20:56:53.790Z","success","winter22",2,12,12,15,0,0,0,11.8846333333333
"9XEMK","SGC3A","111","wi22sona","2218","32342","sona","asynch","TRUE","To determine what events start at 12pm, I find 12pm on the bottom of the graph, and then go up vertically (to find B and F, in this case)","I tried my best on each question",2,4,3,"Wasn't sure how to sue the graph at first, though that may be part of the experiment.",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1920,969,"Windows 10","2022-02-26T01:20:17.887Z","success","winter22",1,0,-12,0,15,0,0,10.2299833333333
"4KH27","SGC3A","111","wi22sona","2218","41210","sona","asynch","TRUE","look at the x-axis to find 12pm and determine which dots line up with that spot on the x-axis (regardless of y-axis position)","I tried my best on each question",3,3,2,"",19,"United States","English","First","Social Sciences (incl. CogSci)","Female","no","chrome",1427,698,"Mac OS","2022-02-26T04:23:35.355Z","success","winter22",1,1,-9,2,12,0,1,11.13715
"ZMRMB","SGC3A","121","wi22sona","2218","29101","sona","asynch","TRUE","the dots that are on 12pm are the events that start at 12pm","I tried my best on most questions",4,2,3,"",21,"South Korea","Korean","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1128,702,"Mac OS","2022-02-25T03:59:45.173Z","success","winter22",1,1,-3.33333333333333,2,7,8,0,12.3185166666667
"ML0PA","SGC3A","121","wi22sona","2218","41376","sona","asynch","TRUE","i'm locating the number 12 on the x-axis and then whatever vertical points are located with that x-axis point, then they start at the same time because the height of the points is just the duration","I tried my best on each question",4,2,1,"the overall diagram is hard to interpret.",21,"Syria","Arabic","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1261,729,"Windows 10","2022-02-25T07:12:15.252Z","success","winter22",1,0,-5.5,0,8,0,6,9.5144
"ZDA7B","SGC3A","121","wi22sona","2218","35361","sona","asynch","TRUE","Identify where 12pm is on the x-axis then look directly up from there. Any dots on the created vertical line start at 12pm. ","I tried my best on each question",4,2,2,"I was kind of confused for most of it because some questions didn't line up with what I interpreted of the graph. ",20,"USA","Spanish","Third","Biomedical & Health Sciences","Male","none","chrome",1536,754,"Windows 10","2022-02-23T02:41:51.867Z","success","winter22",2,1,-3.08333333333333,1,5,6,2,12.6443833333333
"YV1XZ","SGC3A","111","wi22sona","2218","41515","sona","asynch","TRUE","when it corresponds to the 12pm line on the x axis ","I tried my best on most questions",4,2,4,"",18,"Hong Kong","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1303,725,"Mac OS","2022-02-24T23:34:27.493Z","success","winter22",1,0,-8.5,1,11,5,0,9.0071
"HF78R","SGC3A","121","wi22sona","2218","34535","sona","asynch","TRUE","I view the linear line that starts at 12pm and every hour i move up one and to the right one. So M and L start at 12pm","I tried my best on each question",3,3,4,"",21,"United States of America","English","Fourth","Social Sciences (incl. CogSci)","Male","no","chrome",1440,821,"Mac OS","2022-02-25T23:37:48.883Z","success","winter22",2,6,5.58333333333333,8,2,4,1,35.6469833333333
"BDQEZ","SGC3A","121","wi22sona","2218","34878","sona","asynch","TRUE","look at the 12 pm notch on the x axis, then follow the line going diagonally north-east and check the dots that are on the line.","I tried my best on each question",2,4,3,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1536,714,"Windows 10","2022-02-24T05:21:44.136Z","success","winter22",3,11,10.4166666666667,13,1,1,0,9.78451666666667
"V9JKJ","SGC3A","111","wi22sona","2218","29574","sona","asynch","TRUE","look for 12 pm on the x axis then look up to see if there are any points that line up with it","I tried my best on each question",2,4,4,"it made me realize using colored bars on calendars to schedule things with people is better than this",21,"USA","Cantonese","Fourth","Social Sciences (incl. CogSci)","Male","no","chrome",1920,979,"Windows 10","2022-02-24T04:27:42.679Z","success","winter22",1,0,-12,0,15,0,0,13.0894166666667
"PVRS1","SGC3A","121","wi22sona","2218","42016","sona","asynch","TRUE","X-intercept line, Start and end time of day, find 12PM tick/marking, follow up graph and find points indicating start.... unless.... You do find a point, and determine duration by adding hours from indicated y-line... darn","I tried my best on each question",5,3,5,"I feel like I just realized a different way to read the darn graph- and I did everything wrong! Hopefully other people feel that too lol, very interesting experience!",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1366,768,"Windows 10","2022-02-25T03:44:39.225Z","success","winter22",1,0,-6.5,1,9,4,0,17.1345833333333
"7OYPU","SGC3A","111","wi22sona","2218","40135","sona","asynch","TRUE","find 12 pm look at the diagonal right line originating from it ","I tried my best on each question",1,5,1,"",23,"United States","X-Other","Fourth","Social Sciences (incl. CogSci)","Other-Not Listed","","chrome",2560,1307,"Windows 10","2022-02-25T03:49:31.383Z","success","winter22",1,12,12,15,0,0,0,4.09963333333333
