"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","OSPAN.order_num","OSPAN.math_acc","OSPAN.order_acc","OSPAN.weighted","ospan_split"
"02DBM","121","fall21","asynch","Male",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",17.1542,"NULL","NULL","NULL","NULL","impasse","online-replication",28,1,0.933333333333333,28,"high-memory"
"0EMZW","121","fall21","asynch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",8.06588333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",23,0.96551724137931,0.766666666666667,22.2068965517241,"high-memory"
"0F1A8","111","fall21","asynch","Female",21,"Other","Fourth","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",13.58045,"NULL","NULL","NULL","NULL","control","online-replication",25,0.931034482758621,0.833333333333333,23.2758620689655,"high-memory"
"0LCME","121","fall21","asynch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.31845,"NULL","NULL","NULL","NULL","impasse","online-replication",21,0.96551724137931,0.7,20.2758620689655,"low-memory"
"0YVPY","121","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9586833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",24,0.827586206896552,0.8,19.8620689655172,"low-memory"
"1JW7Y","121","fall21","asynch","Female",18,"Spanish","First","Mexico","NULL","NULL","NULL","NULL","NULL","NULL",18.5217833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",27,0.96551724137931,0.9,26.0689655172414,"high-memory"
"1QMGP","121","fall21","asynch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",9.783,"NULL","NULL","NULL","NULL","impasse","online-replication",13,0.931034482758621,0.433333333333333,12.1034482758621,"low-memory"
"1SY41","121","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",20.7524333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",16,1,0.533333333333333,16,"low-memory"
"240Y4","121","fall21","asynch","Female",21,"Other","Third","South Korea","NULL","NULL","NULL","NULL","NULL","NULL",111.016266666667,"NULL","NULL","NULL","NULL","impasse","online-replication",11,1,0.366666666666667,11,"low-memory"
"3PADQ","111","fall21","asynch","Female",22,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",21.9320166666667,"NULL","NULL","NULL","NULL","control","online-replication",26,0.896551724137931,0.866666666666667,23.3103448275862,"high-memory"
"3SYRX","121","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.54665,"NULL","NULL","NULL","NULL","impasse","online-replication",26,0.931034482758621,0.866666666666667,24.2068965517241,"high-memory"
"431GR","111","fall21","asynch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.29108333333333,"NULL","NULL","NULL","NULL","control","online-replication",22,0.96551724137931,0.733333333333333,21.2413793103448,"high-memory"
"57C0V","121","fall21","asynch","Female",20,"Spanish","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",20.4693,"NULL","NULL","NULL","NULL","impasse","online-replication",19,1,0.633333333333333,19,"low-memory"
"57KJC","121","fall21","asynch","Male",22,"Spanish","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.4557,"NULL","NULL","NULL","NULL","impasse","online-replication",23,0.96551724137931,0.766666666666667,22.2068965517241,"high-memory"
"5P3XF","121","fall21","asynch","Female",20,"Spanish","Second","Ecuador","NULL","NULL","NULL","NULL","NULL","NULL",8.77106666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",19,0.896551724137931,0.633333333333333,17.0344827586207,"low-memory"
"5TMTW","121","fall21","asynch","Male",19,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.3727166666667,"NULL","NULL","NULL","NULL","impasse","online-replication",29,0.96551724137931,0.966666666666667,28,"high-memory"
"60VNG","121","fall21","asynch","Female",28,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.4892833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",12,0.896551724137931,0.4,10.7586206896552,"low-memory"
"694WT","111","fall21","asynch","Female",20,"Mandarin or Cantonese","Third","Taiwan","NULL","NULL","NULL","NULL","NULL","NULL",29.49675,"NULL","NULL","NULL","NULL","control","online-replication",14,0.931034482758621,0.466666666666667,13.0344827586207,"low-memory"
"6VLV8","121","fall21","asynch","Female",19,"English","Second","united states","NULL","NULL","NULL","NULL","NULL","NULL",9.54406666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",9,0.758620689655172,0.3,6.82758620689655,"low-memory"
"776UX","111","fall21","asynch","Female",20,"English","Third","United states","NULL","NULL","NULL","NULL","NULL","NULL",27.4013666666667,"NULL","NULL","NULL","NULL","control","online-replication",22,1,0.733333333333333,22,"high-memory"
"77SKE","111","fall21","asynch","Female",20,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.85675,"NULL","NULL","NULL","NULL","control","online-replication",23,1,0.766666666666667,23,"high-memory"
"7BV0L","111","fall21","asynch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.59305,"NULL","NULL","NULL","NULL","control","online-replication",30,0.96551724137931,1,28.9655172413793,"high-memory"
"7DJGJ","121","fall21","asynch","Female",20,"Other","Third","india","NULL","NULL","NULL","NULL","NULL","NULL",7.85746666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",10,0.96551724137931,0.333333333333333,9.6551724137931,"low-memory"
"7METL","111","fall21","asynch","Female",19,"English","Second","India","NULL","NULL","NULL","NULL","NULL","NULL",5.50298333333333,"NULL","NULL","NULL","NULL","control","online-replication",13,0.96551724137931,0.433333333333333,12.551724137931,"low-memory"
"8BB1M","111","fall21","asynch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.8747833333333,"NULL","NULL","NULL","NULL","control","online-replication",16,0.931034482758621,0.533333333333333,14.8965517241379,"low-memory"
"8DL90","121","fall21","asynch","Female",22,"English","Third","Japan","NULL","NULL","NULL","NULL","NULL","NULL",2.90885,"NULL","NULL","NULL","NULL","impasse","online-replication",7,0.896551724137931,0.233333333333333,6.27586206896552,"low-memory"
"8MT4O","121","fall21","asynch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.62973333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",18,0.96551724137931,0.6,17.3793103448276,"low-memory"
"8V8HJ","111","fall21","asynch","Female",19,"Spanish","Second","U.S.A","NULL","NULL","NULL","NULL","NULL","NULL",11.4741,"NULL","NULL","NULL","NULL","control","online-replication",23,0.931034482758621,0.766666666666667,21.4137931034483,"high-memory"
"96GEP","121","fall21","asynch","Female",20,"Other","Second","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",14.1287833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",17,0.96551724137931,0.566666666666667,16.4137931034483,"low-memory"
"98R7E","111","fall21","asynch","Female",20,"Spanish","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.8169333333333,"NULL","NULL","NULL","NULL","control","online-replication",15,0.896551724137931,0.5,13.448275862069,"low-memory"
"98VDX","121","fall21","asynch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.6098166666667,"NULL","NULL","NULL","NULL","impasse","online-replication",14,0.931034482758621,0.466666666666667,13.0344827586207,"low-memory"
"9EYZ0","121","fall21","asynch","Female",20,"English","Third","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",13.0657166666667,"NULL","NULL","NULL","NULL","impasse","online-replication",28,0.896551724137931,0.933333333333333,25.1034482758621,"high-memory"
"9S5Z0","111","fall21","asynch","Male",23,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",23.40185,"NULL","NULL","NULL","NULL","control","online-replication",3,0.724137931034483,0.1,2.17241379310345,"low-memory"
"A9JCU","111","fall21","asynch","Male",18,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.7825,"NULL","NULL","NULL","NULL","control","online-replication",25,0.931034482758621,0.833333333333333,23.2758620689655,"high-memory"
"ACEXT","121","fall21","asynch","Female",22,"English","Fourth","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",15.7999166666667,"NULL","NULL","NULL","NULL","impasse","online-replication",30,1,1,30,"high-memory"
"ALN2P","121","fall21","asynch","Male",23,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.2366333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",7,0.793103448275862,0.233333333333333,5.55172413793103,"low-memory"
"ARCSZ","121","fall21","asynch","Male",20,"Mandarin or Cantonese","Third","us\nus","NULL","NULL","NULL","NULL","NULL","NULL",12.5807666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",30,0.827586206896552,1,24.8275862068966,"high-memory"
"AU0MW","121","fall21","asynch","Male",20,"Other","Third","United Arab Emirates","NULL","NULL","NULL","NULL","NULL","NULL",7.97011666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",30,0.931034482758621,1,27.9310344827586,"high-memory"
"B44PE","121","fall21","asynch","Male",20,"Mandarin or Cantonese","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.2414833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",14,0.793103448275862,0.466666666666667,11.1034482758621,"low-memory"
"BK0TH","111","fall21","asynch","Male",20,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",10.3078666666667,"NULL","NULL","NULL","NULL","control","online-replication",30,1,1,30,"high-memory"
"BR500","121","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.0677,"NULL","NULL","NULL","NULL","impasse","online-replication",25,0.931034482758621,0.833333333333333,23.2758620689655,"high-memory"
"BYKF0","111","fall21","asynch","Female",20,"Other","Second","turkey","NULL","NULL","NULL","NULL","NULL","NULL",11.4661,"NULL","NULL","NULL","NULL","control","online-replication",30,0.862068965517241,1,25.8620689655172,"high-memory"
"CHP0K","121","fall21","asynch","Female",26,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",11.5368333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",21,0.931034482758621,0.7,19.551724137931,"low-memory"
"CLV1E","121","fall21","asynch","Female",20,"Spanish","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",18.5461666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",17,0.655172413793103,0.566666666666667,11.1379310344828,"low-memory"
"CN995","121","fall21","asynch","Male",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.19825,"NULL","NULL","NULL","NULL","impasse","online-replication",25,1,0.833333333333333,25,"high-memory"
"DGJQ3","111","fall21","asynch","Female",21,"English","Fourth","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",4.81588333333333,"NULL","NULL","NULL","NULL","control","online-replication",1,0.724137931034483,0.0333333333333333,0.724137931034483,"low-memory"
"DMUWM","111","fall21","asynch","Female",24,"Mandarin or Cantonese","Fourth","China","NULL","NULL","NULL","NULL","NULL","NULL",20.466,"NULL","NULL","NULL","NULL","control","online-replication",23,0.931034482758621,0.766666666666667,21.4137931034483,"high-memory"
"E6KMK","111","fall21","asynch","Female",25,"Spanish","Fifth","Mexico","NULL","NULL","NULL","NULL","NULL","NULL",25.9779666666667,"NULL","NULL","NULL","NULL","control","online-replication",21,0.96551724137931,0.7,20.2758620689655,"low-memory"
"E9SDE","121","fall21","asynch","Female",19,"English","Second","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",13.3792333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",29,0.827586206896552,0.966666666666667,24,"high-memory"
"EA6YH","111","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.35875,"NULL","NULL","NULL","NULL","control","online-replication",16,0.896551724137931,0.533333333333333,14.3448275862069,"low-memory"
"EMKFA","121","fall21","asynch","Female",22,"Spanish","Fifth","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",11.0659833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",23,0.931034482758621,0.766666666666667,21.4137931034483,"high-memory"
"EZ7J5","111","fall21","asynch","Male",25,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.73481666666667,"NULL","NULL","NULL","NULL","control","online-replication",21,0.931034482758621,0.7,19.551724137931,"low-memory"
"F4XPD","111","fall21","asynch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.4601,"NULL","NULL","NULL","NULL","control","online-replication",17,0.96551724137931,0.566666666666667,16.4137931034483,"low-memory"
"F86ZM","111","fall21","asynch","Female",19,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",12.3259333333333,"NULL","NULL","NULL","NULL","control","online-replication",28,0.96551724137931,0.933333333333333,27.0344827586207,"high-memory"
"FDRWD","111","fall21","asynch","Male",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.3750833333333,"NULL","NULL","NULL","NULL","control","online-replication",30,1,1,30,"high-memory"
"GB4TH","111","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.30663333333333,"NULL","NULL","NULL","NULL","control","online-replication",30,0.827586206896552,1,24.8275862068966,"high-memory"
"GY85V","111","fall21","asynch","Male",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",13.9180166666667,"NULL","NULL","NULL","NULL","control","online-replication",29,1,0.966666666666667,29,"high-memory"
"HCGNQ","121","fall21","asynch","Female",20,"Other","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",11.4038333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",23,1,0.766666666666667,23,"high-memory"
"HUNJ8","121","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.48418333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",27,1,0.9,27,"high-memory"
"K3AE8","121","fall21","asynch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",21.1893,"NULL","NULL","NULL","NULL","impasse","online-replication",16,0.827586206896552,0.533333333333333,13.2413793103448,"low-memory"
"K5PDZ","111","fall21","asynch","Other",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.45565,"NULL","NULL","NULL","NULL","control","online-replication",21,0.96551724137931,0.7,20.2758620689655,"low-memory"
"K7HM9","111","fall21","asynch","Male",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",34.0028166666667,"NULL","NULL","NULL","NULL","control","online-replication",22,0.862068965517241,0.733333333333333,18.9655172413793,"low-memory"
"K7HSV","121","fall21","asynch","Female",21,"English","Third","United Sates","NULL","NULL","NULL","NULL","NULL","NULL",9.23895,"NULL","NULL","NULL","NULL","impasse","online-replication",5,0.862068965517241,0.166666666666667,4.31034482758621,"low-memory"
"K9UQH","121","fall21","asynch","Female",18,"Other","Second","India","NULL","NULL","NULL","NULL","NULL","NULL",33.5936333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",24,1,0.8,24,"high-memory"
"KEMWH","111","fall21","asynch","Female",20,"Other","Third","Iran","NULL","NULL","NULL","NULL","NULL","NULL",8.23086666666667,"NULL","NULL","NULL","NULL","control","online-replication",14,0.931034482758621,0.466666666666667,13.0344827586207,"low-memory"
