"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"C8QAW","11115","point-click","winter22","asynch","Male",19,"English","First","United States","I tried my best on each question",3,4,4,"The diamond shape of the graph was more confusing than helpful","no",12.0754833333333,1,"chrome",1600,892,-0.514750935339171,11.3666666666667,-0.146250808015514,0,0,0,0,-12,0,7.2778,33.5898461538462,5.782,120.539,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",30.519,0,-1,"Orthogonal",120.539,0,"Orthogonal",25.651,0,"Orthogonal",57.651,0,-5,232.242,0,-7,204.426
"CNMNJ","11115","point-click","winter22","asynch","Male",20,"English","Second","USA","I tried my best on most questions",1,4,2,"","",9.33348333333333,1,"chrome",1536,714,-0.443322363910599,12,-0.0748222365869425,0,0,0,0,-12,0,5.51121666666667,25.4363846153846,0.128,74.565,0,12,0,0,1,0,0,1,0,-1,"Orthogonal",12.84,0,-1,"Orthogonal",74.565,0,"Orthogonal",24.078,0,"Orthogonal",38.508,0,-4,103.193,0,-8,227.48
"D6P9K","11115","point-click","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",4,3,5,"At first I didnt understand how to read the graph so my first answers were probably wrong, but after a certain question I understood that I was supposed to be reading the graph a different way then how I was","",10.2759666666667,3,"chrome",1140,696,8.75641025641026,1.09758672699849,5.77472527472527,0,0,0,9,6.5,0.692307692307692,4.77385,22.0331538461538,6.636,65.211,9,2,0,0,2,0,1,1,0,-1,"Orthogonal",53.923,1,1,"Triangular",12.473,1,"Triangular",28.792,1,"Triangular",12.45,2,-0.5,115.107,7,7,171.324
"DJ72H","11115","point-click","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question",3,3,4,"","",6.68038333333333,1,"chrome",1915,872,4.49748168498169,2.86425339366516,2.92972958414135,0,0,0,5,-0.5,0.384615384615385,3.85761666666667,17.8043846153846,6.444,37.845,5,3,0,0,5,0,5,0,0,-1,"Orthogonal",17.385,0,-0.5,"?",30.206,0,"Orthogonal",12.382,0,"?",20.468,0,-3.5,111.252,5,3,120.205
"ES98M","11115","point-click","winter22","asynch","Female",20,"English","Second","US","I tried my best on most questions",4,2,3,"","no",6.89286666666667,1,"chrome",1440,821,0.593582397994163,7.77083333333333,1.30840605472958,0,0,0,1,-7.5,0.0769230769230769,4.59173333333333,21.1926153846154,4.044,50.075,2,8,0,0,3,0,3,0,0,-1,"Orthogonal",9.258,0,-1,"Orthogonal",50.075,0,"Orthogonal",14.171,0,"?",16.864,0,-4,116.413,1,-3.5,159.091
"EUUV1","11115","point-click","winter22","asynch","Male",20,"English","Third","USA","I tried my best on each question",3,4,1,"","",4.7344,1,"chrome",2560,1307,0.567229584141349,8.68974358974359,-0.735778926955398,0,0,0,1,-9,0.0769230769230769,3.1421,14.502,0.128,33.29,1,9,0,0,3,0,2,1,0,-1,"Orthogonal",6.865,1,1,"Triangular",24.027,0,"Orthogonal",6.616,0,"Orthogonal",33.29,1,-1.5,47.881,0,-7.5,140.645
"F37T6","11115","point-click","winter22","asynch","Male",21,"Mandarin","Fourth","USA","I tried my best on each question",4,3,4,"It was confusing at first, which I think I got some questions wrong at first.","",8.34758333333333,1,"chrome",2560,1280,3.24391025641026,4.41842006033183,2.92055860805861,0,0,0,4,-2,0.307692307692308,5.3897,24.8755384615385,5.756,50.575,4,5,0,0,4,0,2,2,0,-1,"Orthogonal",31.267,1,1,"Triangular",49.734,0,"Orthogonal",22.674,0,"blank",25.235,2,-0.5,149.708,2,-1.5,173.674
"F6QWV","11115","point-click","winter22","asynch","Female",19,"English","Second","America","I tried my best on each question",3,4,2,"","",7.26366666666667,1,"chrome",1440,821,-1.08141760200584,8.72724358974359,-0.723173884938591,0,0,0,0,-11.5,0,3.73295,17.229,4.806,36.119,0,10,0,0,3,0,3,0,0,-1,"Orthogonal",13.829,0,-0.5,"?",27.922,0,"Orthogonal",12.864,0,"Orthogonal",16.484,0,-4.5,84.468,0,-7,139.509
"F6V09","11115","point-click","winter22","asynch","Female",24,"Spanish","Fourth","USA","I tried my best on each question",3,4,4,"being able to zoom in would be a plus when you're cursing around the graph","",9.48796666666667,1,"chrome",1360,703,-0.452250935339171,10.3564102564103,-0.664350355526826,0,0,0,0,-12,0,6.96331666666667,32.1383846153846,5.152,85.881,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",23.351,0,-0.5,"?",85.881,0,"Orthogonal",12.8,0,"Orthogonal",60.587,0,-4.5,214.371,0,-7.5,203.428
"F91EW","11115","point-click","winter22","asynch","Male",23,"English","Fifth","United States","I tried my best on most questions",4,3,2,"","",11.6435666666667,2,"chrome",1280,720,-0.42384184443008,12,-0.646250808015514,0,0,0,0,-12,0,7.28371666666667,33.6171538461538,6.694,109.111,0,12,0,0,1,0,0,1,0,-1,"Orthogonal",29.589,0,0,"blank",109.111,0,"Orthogonal",23.363,0,"Orthogonal",66.227,0,-4,200.18,0,-8,236.843
"FFHE0","11115","point-click","winter22","asynch","Other-Not Listed",19,"Spanish","Second","Mexico","I tried my best on most questions",4,3,5,"","",8.9307,1,"chrome",1440,789,0.354729584141349,8.52307692307692,-0.461269123033829,0,0,0,1,-9.5,0.0769230769230769,6.79638333333333,31.3679230769231,4.757,97.417,1,9,0,0,3,0,3,0,0,-1,"Orthogonal",18.718,1,1,"Triangular",14.736,0,"Orthogonal",16.395,0,"Orthogonal",55.862,1,-2,89.182,0,-7.5,318.601
"FOMHO","11115","point-click","winter22","asynch","Female",20,"Spanish","Second","USA","I tried my best on each question",3,3,2,"n/a","n/a",9.63741666666667,1,"chrome",1440,789,-0.514750935339171,10.3605769230769,-0.723173884938591,0,0,0,0,-12,0,6.37828333333333,29.4382307692308,6.281,61.658,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",19.237,0,-0.5,"?",61.658,0,"Orthogonal",15.627,0,"Orthogonal",13.814,0,-4.5,173.675,0,-7.5,209.022
"GNP7O","11115","point-click","winter22","asynch","Female",21,"English","Third","United States","I tried my best on most questions",4,3,4,"The break questions are super confusing and its hard to focus with the diamonds on the graph","NOPE",7.07843333333333,1,"chrome",1440,821,-0.952250935339171,10.9411764705882,-0.0874272786037492,0,0,0,0,-12.5,0,4.34266666666667,20.0430769230769,8.346,39.407,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",14.559,0,-1,"Orthogonal",39.407,0,"Orthogonal",19.028,0,"Orthogonal",18.917,0,-5,129.748,0,-7.5,130.812
"GQX64","11115","point-click","winter22","asynch","Female",20,"Mandarin","Second","china ","I tried my best on most questions",1,3,1,"","",7.64733333333333,1,"chrome",1440,720,-0.518917602005837,10.3666666666667,-0.0874272786037492,0,0,0,0,-12,0,4.90986666666667,22.6609230769231,8.259,40.227,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",20.724,0,-1,"Orthogonal",40.227,0,"Orthogonal",8.582,0,"Orthogonal",32.909,0,-4.5,127.227,0,-7.5,167.365
"GXAV1","11115","point-click","winter22","asynch","Male",21,"English","Third","USA","I tried my best on each question",2,5,2,"","",6.48005,2,"chrome",1920,969,1.26365815556992,8.24166666666667,0.416249191984486,0,0,0,1,-7,0.0769230769230769,4.33755,20.0194615384615,4.417,63.103,2,8,0,0,3,0,2,1,0,-1,"Orthogonal",15.668,0,0,"blank",63.103,0,"Orthogonal",12.656,0,"Orthogonal",28.608,0,-4,118.003,1,-3,142.25
"GYGOR","11115","point-click","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",4,2,5,"N/A","N/A",9.87671666666667,2,"chrome",1536,754,-0.677088597676833,9.61698717948718,-0.860536522301228,0,0,0,0,-11.5,0,7.03045,32.4482307692308,9.323,85.089,0,10,0,0,3,0,3,0,0,-1,"Orthogonal",19.534,0,-0.5,"?",40.603,0,"Orthogonal",19.382,0,"Orthogonal",85.089,0,-4,146.251,0,-7.5,275.576
"H1PJT","11115","point-click","winter22","asynch","Female",21,"X-Other","Third","Chinese","I tried my best on each question",2,4,4,"","",11.6036666666667,3,"chrome",1536,707,12.5,-0.469079939668175,7.75641025641026,0,0,0,12,13,0.923076923076923,5.7027,26.3201538461538,5.721,76.654,13,0,0,0,0,0,0,0,1,1,"Triangular",76.654,1,1,"Triangular",29.953,1,"Triangular",17.959,0,"Triangular",15.945,5,5,212.405,7,8,129.757
"HNM67","11115","point-click","winter22","asynch","Male",26,"Spanish","Fourth","United States of America","I tried my best on each question",5,3,2,"","",12.2191,1,"chrome",1536,722,-0.436446886446886,8.77083333333333,0.403644149967679,0,0,0,0,-9,0,7.01721666666667,32.3871538461538,9.081,68.75,0,9,1,0,3,1,1,2,0,-1,"Orthogonal",29.622,0,0,"blank",28.174,0,"Orthogonal",30.408,0,"Orthogonal",68.569,0,-3.5,162.096,0,-5.5,258.937
"J3FYJ","11115","point-click","winter22","asynch","Female",29,"English","Fourth","United States","I tried my best on most questions",4,3,1,"The mental math required while looking at the graph was difficult without the use of anything external like pen and paper.","No",13.44885,1,"chrome",1536,792,-0.57384184443008,8.06474358974359,-0.733260611937082,0,0,0,0,-11,0,8.38075,38.6803846153846,9.788,142.653,0,9,0,0,4,0,4,0,0,-1,"Orthogonal",28.057,0,-0.5,"?",26.67,0,"Orthogonal",22.761,0,"Orthogonal",27.396,0,-4,299.311,0,-7,203.534
"K4OUL","11115","point-click","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question",2,2,3,"For half of the questions I was reading the chart wrong and thought the start was wherever the points were and the end was wherever the line reached the x axis. Until the last 2 or so questions I realized the start was the bottom left point of the triangle and the point was the middle of the shift. I think explaining the graph a bit more might be beneficial so you can get better results to the task. ","No. ",16.3308333333333,1,"chrome",1440,821,4.35300116550117,4.91842006033183,3.58722527472527,0,0,0,5,-1,0.384615384615385,8.14381666666667,37.5868461538462,6.928,142.88,5,5,0,0,3,0,2,1,0,-1,"Orthogonal",35.812,0,-0.5,"?",142.88,0,"Orthogonal",22.67,1,"Triangular",23.512,1,-2,251.758,4,1,236.871
"K83ZA","11115","point-click","winter22","asynch","Female",18,"Spanish","First","United States","I tried my best on each question",2,4,3,"","",14.9615666666667,3,"chrome",1440,821,-0.860094072594073,11.0333333333333,-0.0286037491919845,0,0,0,0,-11.5,0,8.72455,40.2671538461538,7.431,140.032,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",23.21,0,-1,"Orthogonal",97.22,0,"Orthogonal",15.115,0,"Orthogonal",140.032,0,-5,180.456,0,-6.5,343.017
"KPQ31","11115","point-click","winter22","asynch","Male",20,"English","Third","US","I tried my best on each question",4,2,2,"","",10.6783666666667,1,"chrome",1440,821,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,7.0068,32.3390769230769,5.754,79.335,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",79.335,0,-1,"Orthogonal",45.793,0,"Orthogonal",16.199,0,"Orthogonal",35.414,0,-5,215.932,0,-8,204.476
"KQBZN","11115","point-click","winter22","asynch","Male",19,"English","Second","USA","I tried my best on most questions",2,4,1,"","",26.5053666666667,1,"chrome",2048,1042,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,6.35981666666667,29.353,5.399,97.643,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",15.534,0,-1,"Orthogonal",62.218,0,"Orthogonal",16.203,0,"Orthogonal",97.643,0,-5,134.217,0,-8,247.372
"KTUY1","11115","point-click","winter22","asynch","Female",20,"X-Other","Second","U.S.","I tried my best on each question",3,3,3,"","No",5.57523333333333,1,"chrome",1711,1186,0.579834626158156,8.67626319758673,-0.723173884938591,0,0,0,1,-9.5,0.0769230769230769,3.14335,14.5077692307692,7.598,22.146,1,9,0,0,3,0,3,0,0,-1,"Orthogonal",9.278,1,1,"Triangular",20.547,0,"Orthogonal",17.061,0,"Orthogonal",17.938,1,-3,69.976,0,-6.5,118.625
"KW3D0","11115","point-click","winter22","asynch","Female",19,"Mandarin","First","China","I tried my best on each question",4,3,2,"","",10.1381,1,"chrome",1440,789,-0.581417602005837,11.8666666666667,-0.146250808015514,0,0,0,0,-12.5,0,5.35535,24.717,4.759,78.341,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",15.141,0,-1,"Orthogonal",53.792,0,"Orthogonal",15.647,0,"Orthogonal",20.794,0,-5,102.106,0,-7.5,219.215
"KZOE9","11115","point-click","winter22","asynch","Male",21,"Korean","Third","U.S.","I tried my best on each question",3,3,1,"","no",15.3657,1.5,"chrome",1440,821,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,11.3947,52.5909230769231,6.317,114.212,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",106.773,0,-1,"Orthogonal",114.212,0,"Orthogonal",14.269,0,"Orthogonal",81.561,0,-5,339.242,0,-8,344.44
"LNEF7","11115","point-click","winter22","asynch","Female",20,"English","Third","United States","I tried my best on each question",4,3,3,"I think I got better at it along the way.","ADHD",8.01355,1,"chrome",1440,695,7.25944055944056,1.23348416289593,5.54395604395604,0,0,0,8,4.5,0.615384615384615,4.893,22.5830769230769,4.748,59.432,8,2,0,0,3,0,3,0,0,-1,"Orthogonal",23.301,0,-0.5,"frenzy",44.878,1,"Triangular",50.085,1,"Triangular",59.432,1,-2,114.224,7,6.5,179.356
"LOGAL","11115","point-click","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question",2,5,5,"","None",11.0259,3,"chrome",1633,887,-0.452250935339171,12.5,-0.146250808015514,0,0,0,0,-13,0,6.38265,29.4583846153846,7.406,113.08,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",17.54,0,-1,"Orthogonal",113.08,0,"Orthogonal",32.147,0,"Orthogonal",25.114,0,-5,165.121,0,-8,217.838
"LV82T","11115","point-click","winter22","asynch","Male",27,"Spanish","Fifth","USA","I tried my best on each question",3,4,4,"It would be easier if you could allow users to create vertical lines since (at least for me) it was a little tough with the triangles to make sure I was where I wanted to be when checking for stuff. or maybe use a grid with the hour marks being more bold than the half hour marks, but i figure the triangles were chosen for a reason lol","No",21.2504,2,"chrome",1517,694,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,12.6729833333333,58.4906923076923,7.458,184.473,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",36.464,0,-1,"Orthogonal",100.177,0,"Orthogonal",21.793,0,"Orthogonal",55.882,0,-5,368.846,0,-8,391.533
"MCJ0W","11115","point-click","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question",4,3,3,"Nothing","No",14.14525,1,"chrome",1504,860,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,11.1813333333333,51.6061538461538,5.963,201.035,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",43.727,0,-1,"Orthogonal",201.035,0,"Orthogonal",49.918,0,"Orthogonal",47.803,0,-5,313.744,0,-8,357.136
"MJ2W9","11115","point-click","winter22","asynch","Female",22,"English","Fourth","United States","I tried my best on each question",3,3,4,"","no",5.80906666666667,1,"chrome",1280,800,-0.0189176020058373,8.66057692307692,0.416249191984486,0,0,0,1,-9.5,0.0769230769230769,3.42395,15.8028461538462,5.114,34.9,1,9,0,0,3,0,3,0,0,-1,"Orthogonal",15.684,0,-0.5,"?",23.76,0,"Orthogonal",13.519,0,"Orthogonal",11.76,0,-4.5,98.192,1,-5,107.245
"MNLNJ","11115","point-click","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions",4,3,3,"","",9.06528333333333,1.5,"chrome",1440,821,-0.448084268672504,10.3605769230769,-0.723173884938591,0,0,0,0,-11.5,0,7.0592,32.5809230769231,5.778,79.717,0,10,0,0,3,0,3,0,0,-1,"Orthogonal",7.313,0,-0.5,"?",66.523,0,"Orthogonal",21.139,0,"Orthogonal",48.275,0,-4.5,141.733,0,-7,281.819
"MTFDT","11115","point-click","winter22","asynch","Female",21,"English","Third","USA","I tried my best on most questions",2,3,4,"","",6.0814,1,"chrome",1440,821,-0.83634184443008,7.5,-0.0494370825253178,0,0,0,0,-7.5,0,3.24408333333333,14.9726923076923,3.811,35.125,0,8,1,0,4,1,0,4,0,-1,"Orthogonal",19.57,0,0,"blank",16.697,0,"Orthogonal",35.125,0,"blank",7.766,0,-2.5,88.328,0,-5,106.317
"MXPYU","11115","point-click","winter22","asynch","Male",20,"English","Second","United States","I tried my best on each question",4,2,3,"","",11.2761666666667,1,"chrome",1920,851,-0.535584268672504,10.3230769230769,-0.331017022193493,0,0,0,0,-12,0,8.27796666666667,38.206,8.458,103.376,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",14.568,0,-0.5,"?",103.376,0,"Orthogonal",12.644,0,"Orthogonal",102.402,0,-4,180.983,0,-8,315.695
"N8UV7","11115","point-click","winter22","asynch","Female",20,"Mandarin","First","Taiwan","I tried my best on each question",1,5,3,"","",6.55208333333333,1.5,"chrome",1440,764,13,-0.535746606334842,8.08974358974359,0,0,0,13,13,1,3.57143333333333,16.4835384615385,5.676,37.191,13,0,0,0,0,0,0,0,1,1,"Triangular",37.191,1,1,"Triangular",19.919,1,"Triangular",26.426,1,"Triangular",20.025,5,5,85.474,8,8,128.812
"NHP4G","11115","point-click","winter22","asynch","Female",26,"English","Third","USA","I tried my best on each question",4,2,1,"this was a good straightforward experiment.","no",6.70443333333333,1,"chrome",1440,789,0.0193399737517385,9.18733031674208,-0.0926793794440853,0,0,0,0,-11,0,3.96591666666667,18.3042307692308,8.051,44.344,0,9,0,0,4,0,4,0,0,-1,"Orthogonal",30.052,0,-0.5,"?",19.255,0,"frenzy",28.009,0,"?",8.075,0,-4.5,124.972,0,-6.5,112.983
"NOXYV","11115","point-click","winter22","asynch","Female",18,"English","First","United States","I tried my best on most questions",4,3,2,"","",5.45838333333333,1,"chrome",1422,687,-0.0273559773559773,7.06842006033183,0.264221073044602,0,0,0,1,-9,0.0769230769230769,3.59436666666667,16.5893846153846,5.252,34.345,1,8,0,0,4,0,4,0,0,-1,"Orthogonal",13.097,0,-0.5,"?",29.103,0,"Orthogonal",10.887,0,"?",20.458,0,-4,87.163,1,-5,128.499
"NU1ZQ","11115","point-click","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question",2,4,5,"The diagonal lines helped a lot with finding halfway points and similar end time between points. However, the x-axis label was very confusing because the graph never plotted end times. We had to calculate end times on our own.","N/A",12.0719833333333,1,"chrome",1440,726,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,6.65153333333333,30.6993846153846,6.388,102.839,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",16.259,0,-1,"Orthogonal",102.839,0,"Orthogonal",14.452,0,"Orthogonal",50.005,0,-5,186.191,0,-8,212.901
