"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","totaltime_m","pretty_condition"
"03DH0","SGC4B","11111","wi22sona","2218","31862","sona","asynch","TRUE","I tried my best on each question",1,5,4,"At first I didn't understand the graph, but after about a minute of looking at it, it started to make more and more sense.
",20,"United States","Spanish","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1536,722,"Windows 10","2022-03-08T19:38:05.156Z","success","winter22",1,9.61305,"point"
"SFGM1","SGC4B","11111","wi22sona","2218","39756","sona","asynch","TRUE","I tried my best on each question",4,2,3,"N/A",19,"Republic of Korea","English","Second","Social Sciences (incl. CogSci)","Male","N/A","chrome",1440,714,"Mac OS","2022-03-09T01:07:26.093Z","success","winter22",1,8.1803,"point"
"EK0VG","SGC4B","11111","wi22sona","2217","42299","sona","asynch","TRUE","I tried my best on each question",2,3,5,"This task was really interesting",20,"Pakistan","X-Other","Third","Social Sciences (incl. CogSci)","Female","","chrome",1600,789,"Windows 7","2022-03-09T21:21:46.998Z","success","winter22",1,3.46805,"point"
"VRDL9","SGC4B","11111","wi22sona","2218","43038","sona","asynch","TRUE","I tried my best on most questions",5,2,5,"What was the point of the diagonal lines?",18,"United States","English","First","Engineering","Male","NO","chrome",1536,754,"Windows 10","2022-03-09T01:59:00.214Z","success","winter22",1,12.4851666666667,"point"
"GWVWK","SGC4B","11111","wi22sona","2218","41915","sona","asynch","TRUE","I tried my best on each question",4,5,4,"it was interesting adjusting to how the graph worked.",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","n/a","chrome",1184,711,"Mac OS","2022-03-06T23:34:33.694Z","success","winter22",1,10.2843333333333,"point"
"Z1Z1O","SGC4B","11111","wi22sona","2218","38789","sona","asynch","TRUE","I tried my best on most questions",4,3,2,"",20,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1366,768,"Chrome OS","2022-03-07T06:47:53.493Z","success","winter22",1,13.5330666666667,"point"
"AAOLH","SGC4B","11111","wi22sona","2218","36209","sona","asynch","TRUE","I tried my best on most questions",4,2,5,"",19,"United States","English","Second","Biomedical & Health Sciences","Female","I have ADHD. ","chrome",1440,821,"Mac OS","2022-03-09T06:59:15.873Z","success","winter22",1,6.24411666666667,"point"
"T71Z3","SGC4B","11111","wi22sona","2218","43104","sona","asynch","TRUE","I tried my best on each question",3,2,4,"I did not fully understand the graph for the first half of the survey and I only thought the dot is about the start time and did not think through the lines connecting to dots. Maybe it will be better if there is an example or practice question? ",18,"China","Mandarin","First","Social Sciences (incl. CogSci)","Female","N/A","chrome",1440,789,"Mac OS","2022-03-09T03:57:35.326Z","success","winter22",3,36.4228833333333,"point"
"04TE9","SGC4B","11111","wi22sona","2218","41811","sona","asynch","TRUE","I tried my best on most questions",3,3,2,"",20,"United States","English","Third","Math or Computer Sciences","Female","No","chrome",1357,706,"Mac OS","2022-03-08T16:56:18.351Z","success","winter22",1,9.90221666666667,"point"
"Y81GX","SGC4B","11111","wi22sona","2218","40841","sona","asynch","TRUE","I tried my best on each question",3,4,2,"The graph was understandable enough to complete the questions but the triangle format slightly confused me.",19,"United States","English","Second","Social Sciences (incl. CogSci)","Male","No","chrome",1440,745,"Mac OS","2022-03-09T02:49:20.580Z","success","winter22",1,18.2329833333333,"point"
"7UM6W","SGC4B","11111","wi22sona","2218","26009","sona","asynch","TRUE","I tried my best on each question",4,4,3,"The activity was strenuous on my eyes. ",23,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1440,733,"Mac OS","2022-03-07T06:33:11.198Z","success","winter22",2,29.8159333333333,"point"
"SBKOJ","SGC4B","11111","wi22sona","2218","36062","sona","asynch","TRUE","I tried my best on each question",3,1,3,"I'm not sure if I read the schedules correctly, but I tried. ",28,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1280,800,"Mac OS","2022-03-06T22:39:29.454Z","success","winter22",2,17.4187833333333,"point"
"781AJ","SGC4B","11111","wi22sona","2218","41205","sona","asynch","TRUE","I tried my best on most questions",4,2,3,"I quite honestly was pretty confused due to the triangles and lines.",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No ","chrome",1190,734,"Mac OS","2022-03-09T00:31:09.883Z","success","winter22",1.5,7.64015,"point"
"HF4J5","SGC4B","11111","wi22sona","2218","43316","sona","asynch","TRUE","I tried my best on most questions",2,2,1,"",19,"United States","X-Other","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1440,733,"Mac OS","2022-03-09T02:17:29.116Z","success","winter22",1,9.47928333333333,"point"
"F3GNF","SGC4B","11111","wi22sona","2218","34098","sona","asynch","TRUE","I tried my best on most questions",3,3,3,"",20,"United States","Korean","Third","Biomedical & Health Sciences","Female","","chrome",1536,746,"Windows 10","2022-03-07T06:45:52.686Z","success","winter22",1,9.6488,"point"
"BCLOS","SGC4B","11111","wi22sona","2217","32378","sona","asynch","TRUE","I tried my best on most questions",4,2,2,"I think some of the later questions revealed that I may have been looking at the chart entirely wrong :(",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1440,722,"Mac OS","2022-03-09T21:01:38.391Z","success","winter22",1,10.6031666666667,"point"
"37106","SGC4B","11111","wi22sona","2218","34819","sona","asynch","TRUE","I tried my best on most questions",4,4,5,"I dont know",20,"Mexico","Spanish","Third","Social Sciences (incl. CogSci)","Female","None","chrome",1440,789,"Mac OS","2022-03-07T00:24:39.760Z","success","winter22",1,9.8757,"point"
"JGQL7","SGC4B","11111","wi22sona","2218","38096","sona","asynch","TRUE","I tried my best on each question",4,3,3,"I was confused about the x-axis being labeled as ""start and end times."" I calculated the end times by adding the duration to the hour labeled on the x-axis but I'm honestly not sure if that was the correct way to go about it since the ""end times"" was labeled there as well.",20,"United States","English","Second","Biomedical & Health Sciences","Female","No","chrome",1536,722,"Windows 10","2022-03-09T01:15:09.404Z","success","winter22",1,11.4689666666667,"point"
"6JZMM","SGC4B","11111","wi22sona","2218","37892","sona","asynch","TRUE","I tried my best on most questions",2,3,1,"",19,"United States","X-Other","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,820,"Mac OS","2022-03-07T00:54:24.496Z","success","winter22",1,8.14766666666667,"point"
"ZWF7Z","SGC4B","11111","wi22sona","2218","42692","sona","asynch","TRUE","I tried my best on most questions",3,3,1,"",22,"US","Arabic","Fourth","Biomedical & Health Sciences","Female","","chrome",1184,703,"Windows 10","2022-03-09T03:08:49.010Z","success","winter22",2,8.3721,"point"
"R41WF","SGC4B","11111","wi22sona","2218","41287","sona","asynch","TRUE","I tried my best on most questions",3,3,2,"the layout of the time schedule was very... interesting. ",19,"USA ","English","First","Humanities","Male","no","chrome",1536,754,"Windows 10","2022-03-09T02:57:09.280Z","success","winter22",1,17.5958333333333,"point"
"CHF7E","SGC4B","11111","wi22sona","2218","36858","sona","asynch","TRUE","I tried my best on each question",2,4,4,"none",23,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","none","chrome",1440,900,"Mac OS","2022-03-08T08:28:32.400Z","success","winter22",1,8.29803333333333,"point"
"DJARF","SGC4B","11111","wi22sona","2218","39038","sona","asynch","TRUE","I tried my best on most questions",2,3,5,"",20,"United States","Spanish","Third","Biomedical & Health Sciences","Female","No","chrome",1195,712,"Mac OS","2022-03-06T22:59:00.596Z","success","winter22",1,3.31913333333333,"point"
"LD29H","SGC4B","11111","wi22sona","2218","41188","sona","asynch","TRUE","I tried my best on each question",2,3,4,"It was engaging.
",18,"United States of America","English","First","Social Sciences (incl. CogSci)","Female","None.","chrome",1440,697,"Mac OS","2022-03-09T03:38:16.539Z","success","winter22",1,7.47158333333333,"point"
"H4GUE","SGC4B","11111","wi22sona","2218","31782","sona","asynch","TRUE","I tried my best on each question",3,4,5,"Everything was great! I just had a little trouble loading in at first. After the screen introducing my task and Alex, I was given a blank screen. I thought the test had started so I waited a while before I decided to refresh the page. But after I did refresh the page, the questions showed up so that was that. :D",21,"U.S","Mandarin","Fourth","Biomedical & Health Sciences","Female","no","chrome",1920,969,"Windows 10","2022-03-09T06:38:00.491Z","success","winter22",1,15.5467666666667,"point"
"UA1V5","SGC4B","11111","wi22sona","2218","36842","sona","asynch","TRUE","I tried my best on each question",2,5,5,"It was interesting and unique. Short and simple. A great experiment. ",22,"United States","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1680,971,"Mac OS","2022-03-09T06:15:00.978Z","success","winter22",1,11.4198833333333,"point"
"63XK4","SGC4B","11111","wi22sona","2217","41189","sona","asynch","TRUE","I tried my best on each question",3,4,3,"It was interesting because I felt like the 1st set of questions were harder than the second
",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","NO","chrome",1920,979,"Windows 10","2022-03-09T21:01:24.459Z","success","winter22",1,12.1010666666667,"point"
"QW2F9","SGC4B","11111","wi22sona","2218","36097","sona","asynch","TRUE","I tried my best on most questions",4,3,1,"",20,"United States","Spanish","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1536,754,"Windows 10","2022-03-08T08:29:37.171Z","success","winter22",1.5,29.6743833333333,"point"
"AKU7D","SGC4B","11111","wi22sona","2217","42542","sona","asynch","TRUE","I tried my best on most questions",3,4,4,"Darker Graph",23,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-03-09T21:28:12.229Z","success","winter22",1,14.8384333333333,"point"
"XP9E6","SGC4B","11111","wi22sona","2218","42214","sona","asynch","TRUE","I tried my best on each question",4,4,2,"",19,"USA","English","First","Social Sciences (incl. CogSci)","Female","no","chrome",1200,777,"Mac OS","2022-03-06T23:32:00.064Z","success","winter22",1,11.5730166666667,"point"
"STC1Z","SGC4B","11111","wi22sona","2218","43113","sona","asynch","TRUE","I tried my best on most questions",2,3,3,"",18,"USA","Spanish","First","Natural Sciences","Female","no","chrome",1440,746,"Mac OS","2022-03-09T01:44:38.529Z","success","winter22",3,21.7610833333333,"point"
"PZWZ9","SGC4B","11111","wi22sona","2218","26850","sona","asynch","TRUE","I tried my best on most questions",3,3,2,"I made sure there was zero background noise while doing this task.",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","None.","chrome",1440,789,"Mac OS","2022-03-06T23:28:59.523Z","success","winter22",1,16.6185166666667,"point"
"WUMOQ","SGC4B","11111","wi22sona","2218","34357","sona","asynch","TRUE","I tried my best on each question",3,4,3,"I'm pretty sure that this was intentional, but the triangle grid was really misleading and confusing at first, so if that was a mistake that's something to consider.",21,"United States of America","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,961,"Windows 10","2022-03-09T05:59:29.686Z","success","winter22",2,17.2038166666667,"point"
"YZ2B1","SGC4B","11111","wi22sona","2218","41230","sona","asynch","TRUE","I tried my best on most questions",4,4,3,"Labeling the graphs better.",18,"Turkey","X-Other","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-08T08:38:52.499Z","success","winter22",1,9.94446666666667,"point"
"1OM2O","SGC4B","11111","wi22sona","2218","39231","sona","asynch","TRUE","I tried my best on each question",2,5,3,"",19,"USA","English","Second","Biomedical & Health Sciences","Female","no","chrome",1678,828,"Mac OS","2022-03-07T01:20:38.262Z","success","winter22",1,7.11788333333333,"point"
"YRYRU","SGC4B","11111","wi22sona","2218","32487","sona","asynch","TRUE","I tried my best on most questions",4,4,1,"Not sure.",20,"Unites States of America","English","Third","Social Sciences (incl. CogSci)","Male","No.","chrome",1440,702,"Mac OS","2022-03-09T01:27:18.031Z","success","winter22",1,12.4634,"point"
"1BOTW","SGC4B","11111","wi22sona","2218","34652","sona","asynch","TRUE","I tried my best on each question",2,4,4,"",20,"India","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1200,754,"Mac OS","2022-03-09T04:12:22.204Z","success","winter22",1,6.6602,"point"
"806VJ","SGC4B","11111","wi22sona","2218","37844","sona","asynch","TRUE","I tried my best on most questions",3,4,1,"Use a better graph that one sucked.",22,"United States","Arabic","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1536,722,"Windows 10","2022-03-09T03:53:08.756Z","success","winter22",1,11.0501833333333,"point"
"PPXWX","SGC4B","11111","wi22sona","2218","37732","sona","asynch","TRUE","I tried my best on each question",4,2,3,"I had a hard time figuring out how to read the graph.",19,"Taiwan","English","Second","Social Sciences (incl. CogSci)","Other-Not Listed","No.","chrome",1440,711,"Mac OS","2022-03-07T01:07:44.735Z","success","winter22",1,14.3352,"point"
"TGWWW","SGC4B","11111","wi22sona","2218","43321","sona","asynch","TRUE","I tried my best on most questions",4,4,3,"It definitely just seemed like a time waste. I started to kind of have fun with it, hoping to see my score of how I did at the end. I still hope I see how well I did. ",19,"United States","Spanish","Second","Biomedical & Health Sciences","Male","Not that I know of.","chrome",2560,1329,"Windows 10","2022-03-09T05:30:16.270Z","success","winter22",3,11.3716,"point"
"EM6DD","SGC4B","11111","wi22sona","2218","39555","sona","asynch","TRUE","I tried my best on each question",3,4,5,"",20,"United States of America","English","Third","Biomedical & Health Sciences","Male","","chrome",1680,971,"Mac OS","2022-03-09T03:49:21.970Z","success","winter22",1,28.4875,"point"
"VRLZ5","SGC4B","11111","wi22sona","2218","43304","sona","asynch","TRUE","I tried my best on each question",4,4,2,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Male","","chrome",1792,1009,"Mac OS","2022-03-09T02:49:22.964Z","success","winter22",1,7.42508333333333,"point"
"DGZD7","SGC4B","11111","wi22sona","2218","36541","sona","asynch","TRUE","I tried my best on each question",3,4,3,"",21,"USA","English","Fourth","Biomedical & Health Sciences","Female","","chrome",1280,721,"Mac OS","2022-03-07T00:01:58.319Z","success","winter22",1,5.66055,"point"
"UZCD8","SGC4B","11111","wi22sona","2218","43253","sona","asynch","TRUE","I tried my best on most questions",5,1,2,"More detailed instructions on how to read the graph. ",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","No","chrome",1480,802,"Mac OS","2022-03-07T02:58:14.695Z","success","winter22",1,9.3656,"point"
"71YSR","SGC4B","11111","wi22sona","2218","34506","sona","asynch","TRUE","I tried my best on each question",3,4,3,"I got better as reading the graph as time went on",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,764,"Mac OS","2022-03-09T01:45:41.238Z","success","winter22",1,13.2338833333333,"point"
"0FHV9","SGC4B","11111","wi22sona","2217","28146","sona","asynch","TRUE","I tried my best on each question",1,5,5,"",22,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","None.","chrome",1440,821,"Mac OS","2022-03-09T20:39:40.227Z","success","winter22",2,11.9577833333333,"point"
"0EJVN","SGC4B","11111","wi22sona","2218","32656","sona","asynch","TRUE","I tried my best on each question",3,5,4,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1536,713,"Windows 10","2022-03-09T01:53:20.970Z","success","winter22",1,9.61463333333333,"point"
"LAZNE","SGC4B","11111","wi22sona","2218","43320","sona","asynch","TRUE","I tried my best on each question",3,2,3,"N/A",18,"America","Spanish","First","Social Sciences (incl. CogSci)","Female","No","chrome",1440,821,"Mac OS","2022-03-09T04:01:47.674Z","success","winter22",1,17.3889333333333,"point"
"8E5QQ","SGC4B","11111","wi22sona","2218","40540","sona","asynch","TRUE","I tried my best on each question",3,3,3,"",19,"United States","Spanish","First","Social Sciences (incl. CogSci)","Female","","chrome",1536,714,"Windows 10","2022-03-07T06:08:17.276Z","success","winter22",1,7.15086666666667,"point"
"BF9X8","SGC4B","11111","wi22sona","2218","43071","sona","asynch","TRUE","I tried my best on each question",3,3,3,"N/A
",18,"United States","Spanish","First","Social Sciences (incl. CogSci)","Female","N/A","chrome",1440,732,"Mac OS","2022-03-09T01:23:11.795Z","success","winter22",1,7.42726666666667,"point"
"OUHCM","SGC4B","11111","wi22sona","2218","38849","sona","asynch","TRUE","I tried my best on most questions",3,3,4,"",21,"China","Mandarin","Fourth","Biomedical & Health Sciences","Female","N/A","chrome",1440,695,"Mac OS","2022-03-07T06:29:04.421Z","success","winter22",1,6.29243333333333,"point"
"BCLXE","SGC4B","11111","wi22sona","2218","37604","sona","asynch","TRUE","I tried my best on each question",2,4,4,"",24,"Korea","Korean","Fourth","Social Sciences (incl. CogSci)","Male","no","chrome",1600,821,"Mac OS","2022-03-06T21:21:37.080Z","success","winter22",1,8.83571666666667,"point"
"CW083","SGC4B","11111","wi22sona","2218","34903","sona","asynch","TRUE","I tried my best on each question",3,5,4,"",21,"United States","English","Third","Engineering","Male","","chrome",1706,889,"Windows 10","2022-03-08T22:41:54.617Z","success","winter22",1,5.96985,"point"
"1UNBR","SGC4B","11111","wi22sona","2218","42799","sona","asynch","TRUE","I tried my best on each question",3,3,5,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1920,969,"Windows 10","2022-03-09T02:42:31.235Z","success","winter22",3,11.2121,"point"
"5HHA7","SGC4B","11111","wi22sona","2218","41862","sona","asynch","TRUE","I tried my best on each question",2,4,3,"",20,"Hong Kong","Cantonese","Third","Social Sciences (incl. CogSci)","Male","","chrome",1212,739,"Mac OS","2022-03-08T22:31:32.181Z","success","winter22",1,9.14826666666667,"point"
"L53BW","SGC4B","11111","wi22sona","2218","29284","sona","asynch","TRUE","I tried my best on each question",3,3,3,"A calculator would be useful",21,"United States","English","Fourth","Humanities","Male","No","chrome",1440,821,"Mac OS","2022-03-07T01:22:58.472Z","success","winter22",1,10.2133,"point"
"P3PUB","SGC4B","11111","wi22sona","2217","40250","sona","asynch","TRUE","I tried my best on each question",4,2,3,"It was hard to tell where the two dots are plotted because of a diamond shaped lines. ",23,"Korea","Korean","Third","Social Sciences (incl. CogSci)","Female","","chrome",1536,746,"Windows 10","2022-03-09T21:16:20.022Z","success","winter22",1,12.5158833333333,"point"
"PO2LR","SGC4B","11111","wi22sona","2218","34305","sona","asynch","TRUE","I tried my best on most questions",2,2,5,"i was a bit distracted ",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-08T21:54:40.490Z","success","winter22",1,18.86475,"point"
"Y96DE","SGC4B","11111","wi22sona","2218","39008","sona","asynch","TRUE","I tried my best on most questions",4,3,2,"",19,"United States","French","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,735,"Mac OS","2022-03-09T01:14:32.877Z","success","winter22",1,17.0935666666667,"point"
"P7GD8","SGC4B","11111","wi22sona","2218","33553","sona","asynch","TRUE","I tried my best on each question",3,3,2,"",21,"United States","English","Fourth","Natural Sciences","Male","","chrome",1920,937,"Windows 10","2022-03-09T01:57:23.684Z","success","winter22",3,30.1378833333333,"point"
"XNGBZ","SGC4B","11111","wi22sona","2218","43296","sona","asynch","TRUE","I tried my best on most questions",4,3,2,"",21,"United States","English","Third","Biomedical & Health Sciences","Female","","chrome",1440,731,"Mac OS","2022-03-09T06:58:26.917Z","success","winter22",1,9.56635,"point"
"3B0R3","SGC4B","11111","wi22sona","2218","41761","sona","asynch","TRUE","I tried my best on most questions",2,4,3,"checklist in alphabetical order would make more sense for selecting!",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","Nope
","chrome",1920,937,"Windows 10","2022-03-06T06:34:38.220Z","success","winter22",2,8.19591666666667,"point"
"GM5W6","SGC4B","11111","wi22sona","2218","37808","sona","asynch","TRUE","I tried my best on each question",3,3,5,"",22,"usa","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1384,751,"Mac OS","2022-03-08T22:02:16.811Z","success","winter22",1,6.84908333333333,"point"
"NGK82","SGC4B","11111","wi22sona","2218","39754","sona","asynch","TRUE","I tried my best on each question",1,5,5,"",19,"United States","Spanish","Second","Humanities","Male","no","chrome",1464,868,"Windows 10","2022-03-09T01:43:51.097Z","success","winter22",1,15.4775166666667,"point"
"7CVJA","SGC4B","11111","wi22sona","2218","38087","sona","asynch","TRUE","I tried my best on each question",3,4,4,"",19,"Brazil","X-Other","Second","Humanities","Female","","chrome",2048,1073,"Mac OS","2022-03-09T03:35:19.630Z","success","winter22",1,16.5752333333333,"point"
"Z2ZUW","SGC4B","11111","wi22sona","2218","37574","sona","asynch","TRUE","I tried my best on each question",5,1,5,"none",20,"China","Mandarin","Second","Social Sciences (incl. CogSci)","Female","none","chrome",1200,686,"Mac OS","2022-03-09T04:44:18.170Z","success","winter22",1,10.7117166666667,"point"
"LD7EK","SGC4B","11111","wi22sona","2218","37388","sona","asynch","TRUE","I tried my best on most questions",3,3,2,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1280,721,"Mac OS","2022-03-06T22:12:49.025Z","success","winter22",1,12.28355,"point"
